id	url	name	name	street_address	locality	region	postal_code	acres	counties	adopted_2017_standards_&_practices	number_of_board_members	number_of_full_time_staff	number_of_supporters	number_of_volunteers	year_first_joined	features
maryland-environmental-trust-md	https://findalandtrust.org/land-trusts/explore/maryland-environmental-trust-md	Maryland Environmental Trust	Maryland Environmental Trust	100 Community Pl 3rd Fl	Crownsville	MD	21032-2048	139,356	Allegany, Anne Arundel, Baltimore, Calvert, Caroline, Carroll, Cecil, Charles, Dorchester, Frederick, Garrett, Harford, Howard, Kent, Montgomery, Prince George's, Queen Anne's, St. Mary's, Somerset, Talbot, Washington, Wicomico, Worcester, Baltimore city	Yes	14	6	46	38	1989	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
cacapon-and-lost-rivers-land-trust-wv	https://findalandtrust.org/land-trusts/explore/cacapon-and-lost-rivers-land-trust-wv	Cacapon and Lost Rivers Land Trust	Cacapon and Lost Rivers Land Trust	PO Box 58	Wardensville	WV	26851-0058	13,953	Hampshire, Hardy, Morgan	Yes	12		300		1991	
oceanside-conservation-trust-of-casco-bay-me	https://findalandtrust.org/land-trusts/explore/oceanside-conservation-trust-of-casco-bay-me	Oceanside Conservation Trust of Casco Bay	Oceanside Conservation Trust of Casco Bay	PO Box 10404	Portland	ME	04104-0404	89	Cumberland	Yes	14		173		1991	Public Access
mendocino-land-trust-ca	https://findalandtrust.org/land-trusts/explore/mendocino-land-trust-ca	Mendocino Land Trust	Mendocino Land Trust	PO Box 2058	Fort Bragg	CA	95437-2058	18,620	Lake, Mendocino	Yes	7	6	1,000	100	1985	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
midcoast-conservancy-me	https://findalandtrust.org/land-trusts/explore/midcoast-conservancy-me	Midcoast Conservancy	Midcoast Conservancy	PO Box 439 290 Rt. 1	Edgecomb	ME	04556-0439	13,160	Kennebec, Knox, Lincoln, Waldo	Yes	14	12	2,000	150	2000	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
mother-lode-land-trust-ca	https://findalandtrust.org/land-trusts/explore/mother-lode-land-trust-ca	Mother Lode Land Trust	Mother Lode Land Trust	1324 Jackson Gate Rd	Jackson	CA	95642-9539	9,700	Alpine, Amador, Calaveras, El Dorado, Tuolumne	Yes	7	3	375	25	1991	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
big-sur-land-trust-ca	https://findalandtrust.org/land-trusts/explore/big-sur-land-trust-ca	Big Sur Land Trust	Big Sur Land Trust	PO Box 4071	Monterey	CA	93942-4071	25,543	Monterey, San Benito	Yes	18	20	900	40	1982	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
nantucket-land-council-inc-ma	https://findalandtrust.org/land-trusts/explore/nantucket-land-council-inc-ma	Nantucket Land Council, Inc.	Nantucket Land Council, Inc.	PO Box 502 6 Ash Lane	Nantucket	MA	02554-0502	1,500	Nantucket	Yes	28	4	1,800	25	2000	
catawba-lands-conservancy-nc	https://findalandtrust.org/land-trusts/explore/catawba-lands-conservancy-nc	Catawba Lands Conservancy	Catawba Lands Conservancy	4530 Park Rd Ste 420	Charlotte	NC	28209-3790	17,184	Catawba, Gaston, Iredell, Lincoln, Mecklenburg, Union	Yes	24	13	820	300	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
sonoma-land-trust-ca	https://findalandtrust.org/land-trusts/explore/sonoma-land-trust-ca	Sonoma Land Trust	Sonoma Land Trust	822 Fifth St	Santa Rosa	CA	95404-4517	54,322	Sonoma	Yes	20	26	5,000	264	1982	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
sacramento-valley-conservancy-ca	https://findalandtrust.org/land-trusts/explore/sacramento-valley-conservancy-ca	Sacramento Valley Conservancy	Sacramento Valley Conservancy	PO Box 163351	Sacramento	CA	95816-9351	12,146	Amador, Contra Costa, El Dorado, Placer, Sacramento, San Joaquin, Solano, Sutter, Yolo, Yuba	Yes	12	7	1,180	150	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
barrington-land-conservation-trust-ri	https://findalandtrust.org/land-trusts/explore/barrington-land-conservation-trust-ri	Barrington Land Conservation Trust	Barrington Land Conservation Trust	PO Box 324	Barrington	RI	02806-0324	284	Bristol	Yes	13		750	50	1992	Volunteer Opportunities
block-island-land-trust-ri	https://findalandtrust.org/land-trusts/explore/block-island-land-trust-ri	Block Island Land Trust	Block Island Land Trust	PO Box 220	Block Island	RI	02807-0220	587	Washington	Yes	5			1	1987	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Wildlife Habitat
ozaukee-washington-land-trust-inc-wi	https://findalandtrust.org/land-trusts/explore/ozaukee-washington-land-trust-inc-wi	Ozaukee Washington Land Trust, Inc.	Ozaukee Washington Land Trust, Inc.	200 Wisconsin St	West Bend	WI	53095-3428	8,070	Dodge, Ozaukee, Sheboygan, Washington	Yes	12	9	498	75	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
